"","MA.id","CDSR.id","outcome","modelname","col.group","num_studies","est","se","low","up","width","tau","elpd_waic","p_waic","waic","se_elpd_waic","se_p_waic","se_waic"
"7931",661,"CD012780","Hedge's g","htebayesian","Bayesian",8,0.0550230542319219,0.394052312731464,-0.719727348731117,0.838304085135817,1.55803143386693,0.286913021386461,-0.527600868264675,1.99927662099127,1.05520173652935,0.0495613288147097,0.00856707260745314,0.0991226576294194
"7932",661,"CD012780","Hedge's g","ctebayesian","Bayesian",8,0.0584312477532938,0.349531773035293,-0.623263712068998,0.750794586777158,1.37405829884616,NA,NA,NA,NA,NA,NA,NA
"7933",662,"CD012780","MD","ivfe","Frequentist",9,2.16826801547048,0.330954512218976,1.51960909100026,2.81692693994069,1.29731784894043,NA,NA,NA,NA,NA,NA,NA
"7934",662,"CD012780","MD","ivre","Frequentist",9,0.673369718200844,0.259478484035899,0.16480123472743,1.18193820167426,1.01713696694683,0.748625835745581,NA,NA,NA,NA,NA,NA
"7935",662,"CD012780","MD","htebayesian","Bayesian",9,0.507194766587159,0.299047468969711,-0.0570916418427787,1.10526291452613,1.16235455636891,0.262170228009207,3.90259778711559,1.54605671677819,-7.80519557423119,0.267879963948741,0.141735169569118,0.535759927897483
"7936",662,"CD012780","MD","ctebayesian","Bayesian",9,0.506980437051236,0.258611364467993,-0.00024914243541086,1.01223181880765,1.01248096124306,NA,NA,NA,NA,NA,NA,NA
"7937",662,"CD012780","Cohen's d","ivfe","Frequentist",9,0.213913968878845,0.0579896103195927,0.100256421174931,0.327571516582759,0.227315095407828,NA,NA,NA,NA,NA,NA,NA
"7938",662,"CD012780","Cohen's d","ivre","Frequentist",9,0.34317503381579,0.26748578017028,-0.181087461694556,0.867437529326136,1.04852499102069,0.775043092189238,NA,NA,NA,NA,NA,NA
"7939",662,"CD012780","Cohen's d","htebayesian","Bayesian",9,0.389437550769947,0.824293193666779,-1.21966329773087,1.98611830428538,3.20578160201625,0.657560043381561,-0.960442946625247,10.9022284371136,1.92088589325049,0.824067330576832,0.328684146575902,1.64813466115366
"7940",662,"CD012780","Cohen's d","ctebayesian","Bayesian",9,0.377783023439632,0.740926361151649,-1.08320028880615,1.8315735833461,2.91477387215224,NA,NA,NA,NA,NA,NA,NA
"7941",662,"CD012780","Hedge's g","ivfe","Frequentist",9,0.341098015083118,0.337981126743071,-0.321332820787569,1.0035288509538,1.32486167174137,NA,NA,NA,NA,NA,NA,NA
"7942",662,"CD012780","Hedge's g","ivre","Frequentist",9,0.341098015083118,0.337981126743071,-0.321332820787569,1.0035288509538,1.32486167174137,0,NA,NA,NA,NA,NA,NA
"7943",662,"CD012780","Hedge's g","htebayesian","Bayesian",9,0.340315945860925,0.419325501023296,-0.475980477385639,1.18079961596682,1.65678009335246,0.509974354652819,1.41562233260427,3.44649313697765,-2.83124466520855,0.675697984274981,0.329798932868164,1.35139596854996
"7944",662,"CD012780","Hedge's g","ctebayesian","Bayesian",9,0.344623860725424,0.332644774000829,-0.310093190425013,0.990861458571725,1.30095464899674,NA,NA,NA,NA,NA,NA,NA
